,name,label,starting,end
0,VID20220328180027,stride,0,1.01
1,VID20220328180027,squat,1.01,2.01
2,VID20220328180027,up,2.01,2.26
3,VID20220328180027,down,2.26,3.2
4,VID20220328180059,stride,0.2,1.12
5,VID20220328180059,squat,1.12,2.1
6,VID20220328180059,up,2.1,3.05
7,VID20220328180059,down,3.05,3.28
8,VID20220328180107,stride,0.07,1.03
9,VID20220328180107,squat,1.03,1.29
10,VID20220328180107,up,1.29,2.24
11,VID20220328180107,down,2.24,3.16
12,VID20220328180117,stride,0.02,0.24
13,VID20220328180117,squat,0.24,1.2
14,VID20220328180117,up,1.2,2.15
15,VID20220328180117,down,2.15,3.08
16,VID20220328180148,stride,1.07,1.27
17,VID20220328180148,squat,1.27,2.26
18,VID20220328180148,up,2.26,3.2
19,VID20220328180148,down,3.2,4.12
20,VID20220328180157,stride,0,0.18
21,VID20220328180157,squat,0.18,1.19
22,VID20220328180157,up,1.19,2.13
23,VID20220328180157,down,2.13,3.05
24,VID20220328180204,stride,0,0.28
25,VID20220328180204,squat,0.28,1.27
26,VID20220328180204,up,1.27,2.23
27,VID20220328180204,down,2.23,3.14
28,VID20220328180213,stride,0,0.1
29,VID20220328180213,squat,0.1,1.11
30,VID20220328180213,up,1.11,2.09
31,VID20220328180213,down,2.09,3.03
32,VID20220328180309,stride,0.11,1.09
33,VID20220328180309,squat,1.09,2.11
34,VID20220328180309,up,2.11,3.06
35,VID20220328180309,down,3.06,3.29
36,VID20220328180319,stride,0,0.25
37,VID20220328180319,squat,0.25,1.26
38,VID20220328180319,up,1.26,2.23
39,VID20220328180319,down,2.23,3.19
40,VID20220328180327,stride,0,0.24
41,VID20220328180327,squat,0.24,1.23
42,VID20220328180327,up,1.23,2.18
43,VID20220328180327,down,2.18,3.11
44,VID20220328180335,stride,0.06,0.27
45,VID20220328180335,squat,0.27,1.29
46,VID20220328180335,up,1.29,2.24
47,VID20220328180335,down,2.24,3.22
48,VID20220328180345,stride,0,0.27
49,VID20220328180345,squat,0.27,1.27
50,VID20220328180345,up,1.27,2.24
51,VID20220328180345,down,2.24,3.17
52,VID20220328180624,stride,0,1.03
53,VID20220328180624,squat,1.03,2.01
54,VID20220328180624,up,2.01,2.27
55,VID20220328180624,down,2.27,3.23
56,VID20220328180635,stride,0,1.03
57,VID20220328180635,squat,1.03,2.03
58,VID20220328180635,up,2.03,2.29
59,VID20220328180635,down,2.29,3.23
60,VID20220328180644,stride,0,0.19
61,VID20220328180644,squat,0.19,1.19
62,VID20220328180644,up,1.19,2.13
63,VID20220328180644,down,2.13,3.08
64,VID20220328180652,stride,0.1,1.07
65,VID20220328180652,squat,1.07,2.08
66,VID20220328180652,up,2.08,3.01
67,VID20220328180652,down,3.01,3.26
68,VID20220328180700,stride,0,0.29
69,VID20220328180700,squat,0.29,2
70,VID20220328180700,up,2,2.25
71,VID20220328180700,down,2.25,3.21
72,VID20220328180709,stride,0,0.2
73,VID20220328180709,squat,0.2,1.19
74,VID20220328180709,up,1.19,2.15
75,VID20220328180709,down,2.15,3.14
76,VID20220328180716,stride,0,0.24
77,VID20220328180716,squat,0.24,1.25
78,VID20220328180716,up,1.25,2.2
79,VID20220328180716,down,2.2,3.18
80,VID20220328180724,stride,0,0.14
81,VID20220328180724,squat,0.14,1.12
82,VID20220328180724,up,1.12,2.08
83,VID20220328180724,down,2.08,3.04
84,VID20220328180731,stride,0.06,1.03
85,VID20220328180731,squat,1.03,2
86,VID20220328180731,up,2,2.25
87,VID20220328180731,down,2.25,3.21
88,VID20220328180739,stride,0,0.28
89,VID20220328180739,squat,0.28,1.28
90,VID20220328180739,up,1.28,2.22
91,VID20220328180739,down,2.22,3.16
92,VID20220328180746,stride,0.2,1.17
93,VID20220328180746,squat,1.17,2.16
94,VID20220328180746,up,2.16,3.08
95,VID20220328180746,down,3.08,4.03
96,VID20220328180755,stride,0,0.17
97,VID20220328180755,squat,0.17,1.2
98,VID20220328180755,up,1.2,2.14
99,VID20220328180755,down,2.14,3.07
100,VID20220328180802,stride,0,0.29
101,VID20220328180802,squat,0.29,1.26
102,VID20220328180802,up,1.26,2.22
103,VID20220328180802,down,2.22,3.16
104,VID20220328180810,stride,0.09,1.03
105,VID20220328180810,squat,1.03,2.04
106,VID20220328180810,up,2.04,2.29
107,VID20220328180810,down,2.29,3.22
108,VID20220328180818,stride,0.12,1.05
109,VID20220328180818,squat,1.05,2.05
110,VID20220328180818,up,2.05,3
111,VID20220328180818,down,3,3.23
112,VID20220328180826,stride,0,0.25
113,VID20220328180826,squat,0.25,1.24
114,VID20220328180826,up,1.24,2.17
115,VID20220328180826,down,2.17,3.1
116,VID20220328180934,stride,,
117,VID20220328180934,squat,,
118,VID20220328180934,up,,
119,VID20220328180934,down,,
120,VID20220328180945,stride,,
121,VID20220328180945,squat,,
122,VID20220328180945,up,,
123,VID20220328180945,down,,
124,VID20220328180957,stride,,
125,VID20220328180957,squat,,
126,VID20220328180957,up,,
127,VID20220328180957,down,,
128,VID20220328181009,stride,,
129,VID20220328181009,squat,,
130,VID20220328181009,up,,
131,VID20220328181009,down,,
132,VID20220328181020,stride,,
133,VID20220328181020,squat,,
134,VID20220328181020,up,,
135,VID20220328181020,down,,
136,VID20220328181035,stride,,
137,VID20220328181035,squat,,
138,VID20220328181035,up,,
139,VID20220328181035,down,,
